,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
17862,56928,LSP University Park LLC,55640,University Park North,IL,Will,2,GT,OP,45.0,42.0,45.0,,6,2002,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Commonwealth Edison Co,22,41.4425,-87.7514
17863,56928,LSP University Park LLC,55640,University Park North,IL,Will,3,GT,OP,45.0,42.0,45.0,,6,2002,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Commonwealth Edison Co,22,41.4425,-87.7514
17864,56928,LSP University Park LLC,55640,University Park North,IL,Will,4,GT,OP,45.0,42.0,45.0,,6,2002,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Commonwealth Edison Co,22,41.4425,-87.7514
17865,56928,LSP University Park LLC,55640,University Park North,IL,Will,5,GT,OP,45.0,42.0,45.0,,6,2002,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Commonwealth Edison Co,22,41.4425,-87.7514
17866,56928,LSP University Park LLC,55640,University Park North,IL,Will,6,GT,OP,45.0,42.0,45.0,,6,2002,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Commonwealth Edison Co,22,41.4425,-87.7514
17867,56928,LSP University Park LLC,55640,University Park North,IL,Will,7,GT,OP,45.0,42.0,45.0,,6,2002,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commonwealth Edison Co,22,41.4425,-87.7514
17868,56928,LSP University Park LLC,55640,University Park North,IL,Will,8,GT,OP,45.0,42.0,45.0,,6,2002,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commonwealth Edison Co,22,41.4425,-87.7514
17869,56928,LSP University Park LLC,55640,University Park North,IL,Will,9,GT,OP,45.0,42.0,45.0,,6,2002,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commonwealth Edison Co,22,41.4425,-87.7514
17870,56929,Alliance Star Energy LLC,57592,Sheraton SD East Tower,CA,San Diego,45,FC,OP,0.3,0.3,0.3,,11,2005,NG,,,,,,N,Y,,S,,Y,Commercial CHP,5,T,,Y,,,,,,,,,,,,,N,,,11.0,2017.0,N,,,,,,,,,,,San Diego Gas & Electric Co,721,32.7283,-117.1978
17871,56929,Alliance Star Energy LLC,57592,Sheraton SD East Tower,CA,San Diego,47,FC,OP,0.3,0.3,0.3,,10,2005,NG,,,,,,N,Y,,S,,Y,Commercial CHP,5,T,,Y,,,,,,,,,,,,,N,,,11.0,2017.0,N,,,,,,,,,,,San Diego Gas & Electric Co,721,32.7283,-117.1978
17872,56929,Alliance Star Energy LLC,57592,Sheraton SD East Tower,CA,San Diego,50,FC,OP,0.3,0.3,0.3,,11,2005,NG,,,,,,N,Y,,S,,Y,Commercial CHP,5,T,,Y,,,,,,,,,,,,,N,,,11.0,2017.0,N,,,,,,,,,,,San Diego Gas & Electric Co,721,32.7283,-117.1978
