,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
12922,20847,Wisconsin Electric Power Co,6170,Pleasant Prairie,WI,Kenosha,2,ST,OP,616.6,594.0,594.0,,7,1985,SUB,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,NG,,,,American Transmission Co,22,42.5381,-87.9033
12956,20856,Wisconsin Power & Light Co,4050,Edgewater,WI,Sheboygan,3,ST,SB,60.0,69.9,71.0,,7,1951,SUB,TDF,,,,,Y,Y,Y,S,,N,Electric Utility,1,,N,Y,,,,,,,,,,,,,,,,12.0,2015.0,N,,,Y,,,,DFO,,,,American Transmission Co,22,43.715142,-87.705863
12957,20856,Wisconsin Power & Light Co,4050,Edgewater,WI,Sheboygan,4,ST,OP,330.0,317.3,317.4,,12,1969,SUB,TDF,,,,,Y,Y,,J,,N,Electric Utility,1,,N,Y,,,,,,,,,,,,,Y,12.0,2018.0,,,N,,,Y,,,,DFO,,,,American Transmission Co,22,43.715142,-87.705863
12958,20856,Wisconsin Power & Light Co,4050,Edgewater,WI,Sheboygan,5,ST,OP,380.0,409.8,411.9,,3,1985,SUB,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,American Transmission Co,22,43.715142,-87.705863
12963,20856,Wisconsin Power & Light Co,4054,Nelson Dewey Coal Refining Facility,WI,Grant,1,ST,OP,100.0,107.4,107.9,,12,1959,SUB,PC,TDF,,,,Y,Y,,S,,N,Electric Utility,1,,N,Y,,,,,,,,,,,,,,,,12.0,2015.0,N,,,Y,,,,DFO,,,,American Transmission Co,22,42.7225,-91.0085
12964,20856,Wisconsin Power & Light Co,4054,Nelson Dewey Coal Refining Facility,WI,Grant,2,ST,OP,100.0,105.0,107.1,,12,1962,SUB,PC,TDF,,,,Y,Y,,S,,N,Electric Utility,1,,N,Y,,,,,,,,,,,,,,,,12.0,2015.0,N,,,Y,,,,DFO,,,,American Transmission Co,22,42.7225,-91.0085
12982,20856,Wisconsin Power & Light Co,8023,Columbia,WI,Columbia,1,ST,OP,512.0,565.0,572.0,,5,1975,SUB,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,American Transmission Co,22,43.4864,-89.4203
12983,20856,Wisconsin Power & Light Co,8023,Columbia,WI,Columbia,2,ST,OP,511.0,557.0,571.0,,5,1978,SUB,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,American Transmission Co,22,43.4864,-89.4203
13024,20860,Wisconsin Public Service Corp,4072,Pulliam,WI,Brown,5,ST,OP,50.0,51.3,51.8,,9,1949,SUB,NG,,,,,Y,Y,,S,,N,Electric Utility,1,,N,Y,,,,,,,,,,,,,Y,6.0,2015.0,,,N,Y,,Y,,,,NG,,,,American Transmission Co,22,44.54,-88.0086
13025,20860,Wisconsin Public Service Corp,4072,Pulliam,WI,Brown,6,ST,OP,69.0,66.0,67.0,,11,1951,SUB,NG,,,,,Y,Y,,S,,N,Electric Utility,1,,N,Y,,,,,,,,,,,,,Y,6.0,2015.0,,,N,Y,,Y,,,,NG,,,,American Transmission Co,22,44.54,-88.0086
