,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
3272,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TN,Sullivan,TGO8,ST,OP,6.0,6.0,6.0,,9,1939,BIT,NG,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,,Y,,,,,,,,Appalachian Electric Coop,325,36.5219,-82.5431
3273,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TN,Sullivan,TGO9,ST,OP,6.0,6.0,6.0,,7,1941,BIT,NG,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,,Y,,,,,,,,Appalachian Electric Coop,325,36.5219,-82.5431
3277,5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",NY,Monroe,17TG,ST,OP,15.0,15.0,15.0,,12,1968,BIT,RFO,,,,,N,Y,,S,,Y,Industrial CHP,7,B,N,N,,,,,,,,,,,,,,,,,,N,,,,,,Y,RFO,,,,Rochester Gas & Electric Corporation,339,43.1989,-77.6319
3278,5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",NY,Monroe,22TG,ST,OP,12.5,12.5,12.5,,8,1954,BIT,RFO,,,,,N,Y,,S,,Y,Industrial CHP,7,B,N,N,,,,,,,,,,,,,,,,,,N,,,,,,Y,RFO,,,,Rochester Gas & Electric Corporation,339,43.1989,-77.6319
3279,5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",NY,Monroe,41TG,ST,OP,25.6,25.6,25.6,,5,1964,BIT,NG,RFO,,,,Y,Y,,S,,Y,Industrial CHP,7,B,N,N,,,,,,,,,,,,,,,,,,N,,,,,,Y,RFO,,,,Rochester Gas & Electric Corporation,339,43.1989,-77.6319
3280,5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",NY,Monroe,42TG,ST,OP,25.6,25.6,25.6,,8,1967,BIT,NG,RFO,,,,Y,Y,,S,,Y,Industrial CHP,7,B,N,N,,,,,,,,,,,,,,,,,,N,,,,,,Y,RFO,,,,Rochester Gas & Electric Corporation,339,43.1989,-77.6319
3281,5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",NY,Monroe,43TG,ST,OP,25.6,25.6,25.6,,4,1969,BIT,NG,RFO,,,,Y,Y,,S,,Y,Industrial CHP,7,B,N,N,,,,,,,,,,,,,,,,,,N,,,,,,Y,RFO,,,,Rochester Gas & Electric Corporation,339,43.1989,-77.6319
3282,5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",NY,Monroe,44TG,ST,OP,25.6,25.6,25.6,,8,1987,BIT,DFO,,,,,Y,Y,,S,,Y,Industrial CHP,7,B,N,N,,,,,,,,,,,,,,,,,,N,Y,,,,,Y,RFO,,,,Rochester Gas & Electric Corporation,339,43.1989,-77.6319
3965,6455,"Duke Energy Florida, Inc",628,Crystal River,FL,Citrus,1,ST,OP,440.5,370.0,372.0,,10,1966,BIT,,,,,,N,Y,,S,,N,Electric Utility,1,,,Y,,,,,,,,,,,,,,,,3.0,2016.0,N,Y,,N,,,,DFO,,,,Progress Energy Florida Inc,22,28.9656,-82.6977
3966,6455,"Duke Energy Florida, Inc",628,Crystal River,FL,Citrus,2,ST,OP,523.8,499.0,503.0,,11,1969,BIT,,,,,,N,Y,,S,,N,Electric Utility,1,,,Y,,,,,,,,,,,,,,,,3.0,2016.0,N,Y,,,,,,DFO,,,,Progress Energy Florida Inc,22,28.9656,-82.6977
3968,6455,"Duke Energy Florida, Inc",628,Crystal River,FL,Citrus,5,ST,OP,739.2,710.0,721.0,,10,1984,BIT,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,Y,,,,,,DFO,,,,Progress Energy Florida Inc,22,28.9656,-82.6977
3969,6455,"Duke Energy Florida, Inc",628,Crystal River,FL,Citrus,ST4,ST,OP,739.2,712.0,721.0,,12,1982,BIT,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,Y,,,,,,DFO,,,,Progress Energy Florida Inc,22,28.9656,-82.6977
4053,6526,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,OH,Jefferson,1,ST,OP,190.4,180.0,180.0,,8,1959,BIT,SUB,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,American Transmission Systems Inc,22,40.5317,-80.6319
4054,6526,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,OH,Jefferson,2,ST,OP,190.4,180.0,180.0,,7,1960,BIT,SUB,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,American Transmission Systems Inc,22,40.5317,-80.6319
4055,6526,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,OH,Jefferson,3,ST,OP,190.4,180.0,180.0,,7,1961,BIT,SUB,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,American Transmission Systems Inc,22,40.5317,-80.6319
4056,6526,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,OH,Jefferson,4,ST,OP,190.4,180.0,180.0,,11,1962,BIT,SUB,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,American Transmission Systems Inc,22,40.5317,-80.6319
4057,6526,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,OH,Jefferson,5,ST,OP,334.0,300.0,300.0,,12,1967,BIT,SUB,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,American Transmission Systems Inc,22,40.5317,-80.6319
4058,6526,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,OH,Jefferson,6,ST,OP,680.0,600.0,600.0,,4,1969,BIT,SUB,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,Y,,,Y,,,DFO,,,,American Transmission Systems Inc,22,40.5317,-80.6319
4059,6526,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,OH,Jefferson,7,ST,OP,680.0,600.0,600.0,,9,1971,BIT,SUB,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,Y,,,Y,,,DFO,,,,American Transmission Systems Inc,22,40.5317,-80.6319
4074,6526,FirstEnergy Generation Corp,6094,FirstEnergy Bruce Mansfield,PA,Beaver,1,ST,OP,913.7,830.0,830.0,,4,1976,BIT,SUB,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,Y,,,Y,,,DFO,,,,American Transmission Systems Inc,22,40.6348,-80.4159
