,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
17999,57030,"Mesquite Solar 1, LLC",57707,Mesquite Solar 1,AZ,Maricopa,8,PV,OP,12.0,12.0,12.0,,10,2012,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Salt River Project,22,33.341833,-112.904028
18000,57030,"Mesquite Solar 1, LLC",57707,Mesquite Solar 1,AZ,Maricopa,9,PV,OP,16.0,16.0,16.0,,10,2012,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Salt River Project,22,33.341833,-112.904028
18013,57036,Copper Mountain 1 LLC,56944,CM10,NV,Clark,PV01,PV,OP,10.0,10.0,10.0,,12,2008,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,San Diego Gas & Electric Co,22,35.7881,-114.9933
18014,57036,Copper Mountain 1 LLC,57205,CM48,NV,Clark,PV02,PV,OP,8.0,8.0,8.0,,6,2010,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Nevada Power Co,22,35.7814,-114.9933
18015,57036,Copper Mountain 1 LLC,57205,CM48,NV,Clark,PV03,PV,OP,10.0,10.0,10.0,,9,2010,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Nevada Power Co,22,35.7814,-114.9933
18016,57036,Copper Mountain 1 LLC,57205,CM48,NV,Clark,PV04,PV,OP,10.0,10.0,10.0,,10,2010,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Nevada Power Co,22,35.7814,-114.9933
18017,57036,Copper Mountain 1 LLC,57205,CM48,NV,Clark,PV05,PV,OP,10.0,10.0,10.0,,11,2010,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Nevada Power Co,22,35.7814,-114.9933
18018,57036,Copper Mountain 1 LLC,57205,CM48,NV,Clark,PV06,PV,OP,10.0,10.0,10.0,,12,2010,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Nevada Power Co,22,35.7814,-114.9933
18027,57044,"Constellation Solar New Jersey, LLC",57733,Benjamin Moore & Co. Solar,NJ,Flanders,PV1,PV,OP,1.4,1.4,1.4,,12,2010,SUN,,,,,,N,Y,,S,6.0,N,Commercial Non-CHP,4,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey Central Power & Lt Co,441,40.825556,-74.714722
18028,57044,"Constellation Solar New Jersey, LLC",57745,The City of Vineland at West Vineland,NJ,Cumberland,PV1,PV,OP,3.7,3.7,3.7,,10,2011,SUN,,,,,,N,Y,,S,8.0,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City of Vineland - (NJ),22,39.462376,-75.07003900000001
18029,57044,"Constellation Solar New Jersey, LLC",57746,The City of Vineland at North Vineland,NJ,Cumberland,PV1,PV,OP,2.3,2.3,2.3,,10,2011,SUN,,,,,,N,Y,,S,5.0,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City of Vineland - (NJ),22,39.505034,-74.997703
18039,57049,NFI Solar LLC,57734,Cherry Hill,NJ,Camden,CH,PV,OP,1.1,1.1,1.1,,3,2010,SUN,,,,,,N,Y,,S,3.0,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Public Service Elec & Gas Co,22,39.876111,-75.008611
18040,57049,NFI Solar LLC,57742,Vineland Headquarters,NJ,Cumberland,VHQ,PV,OP,1.1,1.1,1.1,,6,2011,SUN,,,,,,N,Y,,S,3.0,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Public Service Elec & Gas Co,22,39.490271,-75.037391
18041,57049,NFI Solar LLC,57750,Maple Solar,NJ,Cumberland,P1,PV,OP,1.6,1.6,1.6,,5,2011,SUN,,,,,,N,Y,,S,4.0,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Public Service Elec & Gas Co,22,39.4875,-74.98083299999999
18042,57049,NFI Solar LLC,57750,Maple Solar,NJ,Cumberland,P2,PV,OP,0.8,0.8,0.8,,9,2011,SUN,,,,,,N,Y,,S,2.0,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Public Service Elec & Gas Co,22,39.4875,-74.98083299999999
18046,57052,NRG Solar Arrowhead LLC,57747,FedEx Field Solar Facility,MD,Prince George's,1,PV,OP,2.0,2.0,2.0,,9,2011,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potomac Electric Power Co,22,38.907778,-76.86444399999999
18050,57055,"SunE SPS1, LLC",57736,SPS1 Dollarhide,NM,Lea,1,PV,OP,10.0,10.0,10.0,,9,2011,SUN,,,,,,N,Y,,W,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Southwestern Public Service Co,22,32.12743,-103.137825
18051,57056,"SunE SPS2, LLC",57737,SPS2 Jal,NM,Lea,1,PV,OP,10.0,10.0,10.0,,9,2011,SUN,,,,,,N,Y,,W,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Southwestern Public Service Co,22,32.183611,-103.18305600000001
18052,57057,"SunE SPS3, LLC",57738,SPS3 Lea,NM,Lea,1,PV,OP,10.0,10.0,10.0,,11,2011,SUN,,,,,,N,Y,,W,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Southwestern Public Service Co,22,32.469722,-103.32333299999999
18053,57058,"SunE SPS5, LLC",57740,SPS5 Hopi,NM,Eddy,1,PV,OP,10.1,10.1,10.1,,12,2011,SUN,,,,,,N,Y,,W,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Southwestern Public Service Co,22,32.681944,-103.303888
18054,57059,"SunE SPS4, LLC",57739,SPS4 Monument,NM,Lea,1,PV,OP,10.1,10.1,10.1,,12,2011,SUN,,,,,,N,Y,,W,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Southwestern Public Service Co,22,32.346667,-104.23472199999999
18057,57065,Constellation Solar Horizons LLC,57758,Mount Saint Mary's,MD,Frederick,PV1,PV,OP,13.7,13.7,13.7,,7,2012,SUN,,,,,,N,Y,,S,28.0,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Allegheny Electric Coop Inc,22,39.675,-77.345
18064,57072,"MFP CO III, LLC",57765,Arizona Western College PV,AZ,Yuma,GV1,PV,OP,0.5,0.5,0.5,,11,2011,SUN,,,,,,N,Y,,S,32.0,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona Public Service Co,22,32.687778,-114.49611000000002
18065,57072,"MFP CO III, LLC",57765,Arizona Western College PV,AZ,Yuma,GV2,PV,OP,0.5,0.5,0.5,,11,2011,SUN,,,,,,N,Y,,S,32.0,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona Public Service Co,22,32.687778,-114.49611000000002
18066,57072,"MFP CO III, LLC",57765,Arizona Western College PV,AZ,Yuma,SFC,PV,OP,1.0,1.0,1.0,,11,2011,SUN,,,,,,N,Y,,S,2.0,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona Public Service Co,22,32.687778,-114.49611000000002
18067,57072,"MFP CO III, LLC",57765,Arizona Western College PV,AZ,Yuma,SHP,PV,OP,0.9,0.9,0.9,,11,2011,SUN,,,,,,N,Y,,S,2.0,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona Public Service Co,22,32.687778,-114.49611000000002
18068,57072,"MFP CO III, LLC",57765,Arizona Western College PV,AZ,Yuma,STE,PV,OP,0.9,0.9,0.9,,11,2011,SUN,,,,,,N,Y,,S,2.0,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona Public Service Co,22,32.687778,-114.49611000000002
18069,57072,"MFP CO III, LLC",57765,Arizona Western College PV,AZ,Yuma,SWD,PV,OP,0.9,0.9,0.9,,11,2011,SUN,,,,,,N,Y,,S,2.0,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona Public Service Co,22,32.687778,-114.49611000000002
18070,57073,"Solar Star California XV, LLC",57764,Naval Air Weapons Station China Lake,CA,Kern,1,PV,OP,11.1,11.1,11.1,,9,2012,SUN,,,,,,N,N,,W,16.0,N,Commercial Non-CHP,4,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Southern California Edison Co,928,35.687709999999996,-117.68137
18074,57078,Ecogy Pennsylvania Systems LLC,57768,Longwood Gardens,PA,Chester,1,PV,OP,1.3,1.3,1.3,,5,2010,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PECO Energy Co,22,39.866667,-75.667777
18075,57081,"Washington Gas Energy Services, Inc.",57772,Perdue Bridgeville Photovoltaic,DE,Sussex,BRID,PV,OP,1.3,1.3,1.3,,7,2011,SUN,,,,,,N,Y,,S,3.0,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delmarva Power,22,38.757689,-75.60203100000001
18076,57081,"Washington Gas Energy Services, Inc.",57879,Perdue Salisbury Photovoltaic,MD,Wicomico,SALI,PV,OP,1.0,1.0,1.0,,9,2011,SUN,,,,,,N,Y,,S,2.0,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Delmarva Power,22,38.373611,-75.535278
18077,57081,"Washington Gas Energy Services, Inc.",58239,Kent County-Kennedyville,MD,Kent,PVKV,PV,OP,1.0,1.0,1.0,,8,2012,SUN,,,,,,N,Y,,S,2.0,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Delmarva Power,22,39.297222,-75.982222
