,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
7819,13781,Northern States Power Co - Minnesota,1925,Prairie Island,MN,Goodhue,1,ST,OP,593.1,521.0,546.0,,2,1974,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Northern States Power Co,22,44.622,-92.6333
7820,13781,Northern States Power Co - Minnesota,1925,Prairie Island,MN,Goodhue,2,ST,OP,593.1,519.0,546.0,,10,1974,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Northern States Power Co,22,44.622,-92.6333
8166,14127,Omaha Public Power District,2289,Fort Calhoun,NE,Washington,1,ST,OA,502.0,478.6,478.6,,9,1973,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,,Y,75.0,79.0,1.0,2017.0,,,,,,,,,N,,,,,,,,,,,,,,,,Omaha Public Power District,22,41.520522,-96.077511
8321,14266,PPL Susquehanna LLC,6103,PPL Susquehanna,PA,Luzerne,1,ST,OP,"1,298.0","1,260.0","1,310.0",,6,1983,NUC,,,,,,N,Y,,J,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,PPL Electric Utilities Corp,22,41.0919,-76.1462
8322,14266,PPL Susquehanna LLC,6103,PPL Susquehanna,PA,Luzerne,2,ST,OP,"1,298.0","1,260.0","1,310.0",,2,1985,NUC,,,,,,N,Y,,J,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,PPL Electric Utilities Corp,22,41.0919,-76.1462
8484,14328,Pacific Gas & Electric Co,6099,Diablo Canyon,CA,San Luis Obispo,1,ST,OP,"1,159.0","1,122.0","1,122.0",,5,1985,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Pacific Gas & Electric Co,22,35.211535999999995,-120.85554199999999
8485,14328,Pacific Gas & Electric Co,6099,Diablo Canyon,CA,San Luis Obispo,2,ST,OP,"1,164.0","1,118.0","1,118.0",,3,1986,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Pacific Gas & Electric Co,22,35.211535999999995,-120.85554199999999
9582,15478,PSEG Nuclear LLC,2410,PSEG Salem Generating Station,NJ,Salem,1,ST,OP,"1,170.0","1,167.9","1,194.2",,6,1977,NUC,,,,,,N,Y,,J,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Public Service Elec & Gas Co,22,39.4625,-75.5358
9583,15478,PSEG Nuclear LLC,2410,PSEG Salem Generating Station,NJ,Salem,2,ST,OP,"1,170.0","1,158.1","1,193.6",,10,1981,NUC,,,,,,N,Y,,J,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Public Service Elec & Gas Co,22,39.4625,-75.5358
9585,15478,PSEG Nuclear LLC,6118,PSEG Hope Creek Generating Station,NJ,Salem,1,ST,OP,"1,290.7","1,174.0","1,239.9",,12,1986,NUC,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Public Service Elec & Gas Co,22,39.4666,-75.5377
